year,month,day,hour,powerusage
2017,3,1,0,46.09102421
2017,3,1,1,43.60392813
2017,3,1,2,43.94392193
2017,3,1,3,44.28982641
2017,3,1,4,42.28204094
2017,3,1,5,46.09674318
2017,3,1,6,49.08068859
2017,3,1,7,61.16092547
2017,3,1,8,75.87868618
2017,3,1,9,76.13018668
2017,3,1,10,74.08670193
2017,3,1,11,80.91914695
2017,3,1,12,85.84665629
2017,3,1,13,76.70737991
2017,3,1,14,70.80386775
2017,3,1,15,72.15109238
2017,3,1,16,75.80982489
2017,3,1,17,78.6217375
2017,3,1,18,71.74973075
2017,3,1,19,66.53307018
2017,3,1,20,65.45721979
2017,3,1,21,57.32847744
2017,3,1,22,52.42059008
2017,3,1,23,46.80798995
2017,3,2,0,46.09102421
2017,3,2,1,43.60392813
2017,3,2,2,43.94392193
2017,3,2,3,44.28982641
2017,3,2,4,42.28204094
2017,3,2,5,46.09674318
2017,3,2,6,49.08068859
2017,3,2,7,61.16092547
2017,3,2,8,75.87868618
2017,3,2,9,76.13018668
2017,3,2,10,74.08670193
2017,3,2,11,80.91914695
2017,3,2,12,85.84665629
2017,3,2,13,76.70737991
2017,3,2,14,70.80386775
2017,3,2,15,72.15109238
2017,3,2,16,75.80982489
2017,3,2,17,78.6217375
2017,3,2,18,71.74973075
2017,3,2,19,66.53307018
2017,3,2,20,65.45721979
2017,3,2,21,57.32847744
2017,3,2,22,52.42059008
2017,3,2,23,46.80798995
2017,3,3,0,46.09102421
2017,3,3,1,43.60392813
2017,3,3,2,43.94392193
2017,3,3,3,44.28982641
2017,3,3,4,42.28204094
2017,3,3,5,46.09674318
2017,3,3,6,49.08068859
2017,3,3,7,61.16092547
2017,3,3,8,75.87868618
2017,3,3,9,76.13018668
2017,3,3,10,74.08670193
2017,3,3,11,80.91914695
2017,3,3,12,85.84665629
2017,3,3,13,76.70737991
2017,3,3,14,70.80386775
2017,3,3,15,72.15109238
2017,3,3,16,75.80982489
2017,3,3,17,78.6217375
2017,3,3,18,71.74973075
2017,3,3,19,66.53307018
2017,3,3,20,65.45721979
2017,3,3,21,57.32847744
2017,3,3,22,52.42059008
2017,3,3,23,46.80798995
2017,3,4,0,46.09102421
2017,3,4,1,43.60392813
2017,3,4,2,43.94392193
2017,3,4,3,44.28982641
2017,3,4,4,42.28204094
2017,3,4,5,46.09674318
2017,3,4,6,49.08068859
2017,3,4,7,61.16092547
2017,3,4,8,75.87868618
2017,3,4,9,76.13018668
2017,3,4,10,74.08670193
2017,3,4,11,80.91914695
2017,3,4,12,85.84665629
2017,3,4,13,76.70737991
2017,3,4,14,70.80386775
2017,3,4,15,72.15109238
2017,3,4,16,75.80982489
2017,3,4,17,78.6217375
2017,3,4,18,71.74973075
2017,3,4,19,66.53307018
2017,3,4,20,65.45721979
2017,3,4,21,57.32847744
2017,3,4,22,52.42059008
2017,3,4,23,46.80798995
2017,3,5,0,46.09102421
2017,3,5,1,43.60392813
2017,3,5,2,43.94392193
2017,3,5,3,44.28982641
2017,3,5,4,42.28204094
2017,3,5,5,46.09674318
2017,3,5,6,49.08068859
2017,3,5,7,61.16092547
2017,3,5,8,75.87868618
2017,3,5,9,76.13018668
2017,3,5,10,74.08670193
2017,3,5,11,80.91914695
2017,3,5,12,85.84665629
2017,3,5,13,76.70737991
2017,3,5,14,70.80386775
2017,3,5,15,72.15109238
2017,3,5,16,75.80982489
2017,3,5,17,78.6217375
2017,3,5,18,71.74973075
2017,3,5,19,66.53307018
2017,3,5,20,65.45721979
2017,3,5,21,57.32847744
2017,3,5,22,52.42059008
2017,3,5,23,46.80798995
2017,3,6,0,46.09102421
2017,3,6,1,43.60392813
2017,3,6,2,43.94392193
2017,3,6,3,44.28982641
2017,3,6,4,42.28204094
2017,3,6,5,46.09674318
2017,3,6,6,49.08068859
2017,3,6,7,61.16092547
2017,3,6,8,75.87868618
2017,3,6,9,76.13018668
2017,3,6,10,74.08670193
2017,3,6,11,80.91914695
2017,3,6,12,85.84665629
2017,3,6,13,76.70737991
2017,3,6,14,70.80386775
2017,3,6,15,72.15109238
2017,3,6,16,75.80982489
2017,3,6,17,78.6217375
2017,3,6,18,71.74973075
2017,3,6,19,66.53307018
2017,3,6,20,65.45721979
2017,3,6,21,57.32847744
2017,3,6,22,52.42059008
2017,3,6,23,46.80798995
2017,3,7,0,46.09102421
2017,3,7,1,43.60392813
2017,3,7,2,43.94392193
2017,3,7,3,44.28982641
2017,3,7,4,42.28204094
2017,3,7,5,46.09674318
2017,3,7,6,49.08068859
2017,3,7,7,61.16092547
2017,3,7,8,75.87868618
2017,3,7,9,76.13018668
2017,3,7,10,74.08670193
2017,3,7,11,80.91914695
2017,3,7,12,85.84665629
2017,3,7,13,76.70737991
2017,3,7,14,70.80386775
2017,3,7,15,72.15109238
2017,3,7,16,75.80982489
2017,3,7,17,78.6217375
2017,3,7,18,71.74973075
2017,3,7,19,66.53307018
2017,3,7,20,65.45721979
2017,3,7,21,57.32847744
2017,3,7,22,52.42059008
2017,3,7,23,46.80798995
2017,3,8,0,46.09102421
2017,3,8,1,43.60392813
2017,3,8,2,43.94392193
2017,3,8,3,44.28982641
2017,3,8,4,42.28204094
2017,3,8,5,46.09674318
2017,3,8,6,49.08068859
2017,3,8,7,61.16092547
2017,3,8,8,75.87868618
2017,3,8,9,76.13018668
2017,3,8,10,74.08670193
2017,3,8,11,80.91914695
2017,3,8,12,85.84665629
2017,3,8,13,76.70737991
2017,3,8,14,70.80386775
2017,3,8,15,72.15109238
2017,3,8,16,75.80982489
2017,3,8,17,78.6217375
2017,3,8,18,71.74973075
2017,3,8,19,66.53307018
2017,3,8,20,65.45721979
2017,3,8,21,57.32847744
2017,3,8,22,52.42059008
2017,3,8,23,46.80798995
2017,3,9,0,46.09102421
2017,3,9,1,43.60392813
2017,3,9,2,43.94392193
2017,3,9,3,44.28982641
2017,3,9,4,42.28204094
2017,3,9,5,46.09674318
2017,3,9,6,49.08068859
2017,3,9,7,61.16092547
2017,3,9,8,75.87868618
2017,3,9,9,76.13018668
2017,3,9,10,74.08670193
2017,3,9,11,80.91914695
2017,3,9,12,85.84665629
2017,3,9,13,76.70737991
2017,3,9,14,70.80386775
2017,3,9,15,72.15109238
2017,3,9,16,75.80982489
2017,3,9,17,78.6217375
2017,3,9,18,71.74973075
2017,3,9,19,66.53307018
2017,3,9,20,65.45721979
2017,3,9,21,57.32847744
2017,3,9,22,52.42059008
2017,3,9,23,46.80798995
2017,3,10,0,46.09102421
2017,3,10,1,43.60392813
2017,3,10,2,43.94392193
2017,3,10,3,44.28982641
2017,3,10,4,42.28204094
2017,3,10,5,46.09674318
2017,3,10,6,49.08068859
2017,3,10,7,84.49
2017,3,10,8,129.7
2017,3,10,9,122.31
2017,3,10,10,118.57
2017,3,10,11,138.22
2017,3,10,12,128.29
2017,3,10,13,109.25
2017,3,10,14,118.99
2017,3,10,15,112.91
2017,3,10,16,92.89
2017,3,10,17,101.93
2017,3,10,18,105.51
2017,3,10,19,104.32
2017,3,10,20,120.92
2017,3,10,21,110.54
2017,3,10,22,106.84
2017,3,10,23,102.35
2017,3,11,0,91.59
2017,3,11,1,84.93
2017,3,11,2,84.17
2017,3,11,3,82.43
2017,3,11,4,87.96
2017,3,11,5,78.71
2017,3,11,6,82.64
2017,3,11,7,107.15
2017,3,11,8,135.8
2017,3,11,9,122
2017,3,11,10,107.04
2017,3,11,11,115.66
2017,3,11,12,113.11
2017,3,11,13,98.89
2017,3,11,14,94.41
2017,3,11,15,96.74
2017,3,11,16,100.16
2017,3,11,17,103.33
2017,3,11,18,90.41
2017,3,11,19,72.8
2017,3,11,20,68.45
2017,3,11,21,66.93
2017,3,11,22,54.06
2017,3,11,23,61.41
2017,3,12,0,67.87
2017,3,12,1,64.36
2017,3,12,2,63.53
2017,3,12,3,69.42
2017,3,12,4,67.75
2017,3,12,5,63.84
2017,3,12,6,62.98
2017,3,12,7,71.19
2017,3,12,8,64.76
2017,3,12,9,63.19
2017,3,12,10,63
2017,3,12,11,60.23
2017,3,12,12,61.33
2017,3,12,13,58.87
2017,3,12,14,58.57
2017,3,12,15,65.05
2017,3,12,16,69.94
2017,3,12,17,59.75
2017,3,12,18,59.17
2017,3,12,19,53.42
2017,3,12,20,54.37
2017,3,12,21,52.97
2017,3,12,22,58.89
2017,3,12,23,65.02
2017,3,13,0,57.36
2017,3,13,1,58.08
2017,3,13,2,63.39
2017,3,13,3,64.38
2017,3,13,4,58.34
2017,3,13,5,64.23
2017,3,13,6,76.66
2017,3,13,7,95.58
2017,3,13,8,107.97
2017,3,13,9,105.62
2017,3,13,10,111.34
2017,3,13,11,116.52
2017,3,13,12,123.1
2017,3,13,13,104.57
2017,3,13,14,100.85
2017,3,13,15,94.63
2017,3,13,16,96.67
2017,3,13,17,99.72
2017,3,13,18,103.95
2017,3,13,19,106.12
2017,3,13,20,113.59
2017,3,13,21,96.3
2017,3,13,22,84.4
2017,3,13,23,72.25
2017,3,14,0,68.49
2017,3,14,1,79.59
2017,3,14,2,66.84
2017,3,14,3,62.27
2017,3,14,4,58.92
2017,3,14,5,69.06
2017,3,14,6,74.02
2017,3,14,7,98.14
2017,3,14,8,121.21
2017,3,14,9,119.85
2017,3,14,10,114.91
2017,3,14,11,119.91
2017,3,14,12,123.97
2017,3,14,13,108.97
2017,3,14,14,105.75
2017,3,14,15,98.86
2017,3,14,16,91.96
2017,3,14,17,100.8
2017,3,14,18,111.02
2017,3,14,19,108.56
2017,3,14,20,118.01
2017,3,14,21,97.99
2017,3,14,22,98.18
2017,3,14,23,87.68
2017,3,15,0,77.48
2017,3,15,1,78.64
2017,3,15,2,88.07
2017,3,15,3,74.26
2017,3,15,4,76.09
2017,3,15,5,73.69
2017,3,15,6,68.34
2017,3,15,7,105.16
2017,3,15,8,132.37
2017,3,15,9,123.97
2017,3,15,10,121.41
2017,3,15,11,128.8
2017,3,15,12,127.2
2017,3,15,13,110.29
2017,3,15,14,99.99
2017,3,15,15,91.23
2017,3,15,16,89.35
2017,3,15,17,98.7
2017,3,15,18,106.46
2017,3,15,19,99.56
2017,3,15,20,99.74
2017,3,15,21,99.4
2017,3,15,22,93.31
2017,3,15,23,82.56
2017,3,16,0,76.9
2017,3,16,1,77.63
2017,3,16,2,65.5
2017,3,16,3,64.05
2017,3,16,4,75.23
2017,3,16,5,77.15
2017,3,16,6,71.92
2017,3,16,7,99.88
2017,3,16,8,135.99
2017,3,16,9,140.45
2017,3,16,10,116.97
2017,3,16,11,121.96
2017,3,16,12,121.77
2017,3,16,13,106.68
2017,3,16,14,116.71
2017,3,16,15,98.82
2017,3,16,16,92.33
2017,3,16,17,111.62
2017,3,16,18,112.38
2017,3,16,19,116.99
2017,3,16,20,114.02
2017,3,16,21,102.24
2017,3,16,22,86.7
2017,3,16,23,80.68
2017,3,17,0,79.28
2017,3,17,1,76.64
2017,3,17,2,75.5
2017,3,17,3,68.28
2017,3,17,4,72.96
2017,3,17,5,77.13
2017,3,17,6,71.49
2017,3,17,7,105.13
2017,3,17,8,121.51
2017,3,17,9,119.69
2017,3,17,10,120.01
2017,3,17,11,136.16
2017,3,17,12,125.47
2017,3,17,13,103.91
2017,3,17,14,99.49
2017,3,17,15,98.42
2017,3,17,16,80.89
2017,3,17,17,106.64
2017,3,17,18,117.06
2017,3,17,19,100.99
2017,3,17,20,98.73
2017,3,17,21,79.4
2017,3,17,22,82.13
2017,3,17,23,78.12
2017,3,18,0,76.73
2017,3,18,1,85.07
2017,3,18,2,70.24
2017,3,18,3,69.4
2017,3,18,4,65.26
2017,3,18,5,63.57
2017,3,18,6,75.83
2017,3,18,7,88.14
2017,3,18,8,113.13
2017,3,18,9,122
2017,3,18,10,123.95
2017,3,18,11,118.36
2017,3,18,12,116.74
2017,3,18,13,103.11
2017,3,18,14,86.37
2017,3,18,15,82.45
2017,3,18,16,94.13
2017,3,18,17,89.92
2017,3,18,18,83.22
2017,3,18,19,74.11
2017,3,18,20,69.97
2017,3,18,21,63.37
2017,3,18,22,56.3
2017,3,18,23,52.39
2017,3,19,0,54.93
2017,3,19,1,64.52
2017,3,19,2,64.4
2017,3,19,3,63.42
2017,3,19,4,62.56
2017,3,19,5,66.3
2017,3,19,6,68.57
2017,3,19,7,69.83
2017,3,19,8,84.7
2017,3,19,9,81.26
2017,3,19,10,79.18
2017,3,19,11,78.81
2017,3,19,12,80.15
2017,3,19,13,77.41
2017,3,19,14,66.75
2017,3,19,15,85.54
2017,3,19,16,91.93
2017,3,19,17,80.07
2017,3,19,18,68.56
2017,3,19,19,71.81
2017,3,19,20,66.15
2017,3,19,21,54.98
2017,3,19,22,51.06
2017,3,19,23,68.71
2017,3,20,0,59.38
2017,3,20,1,57.73
2017,3,20,2,64.09
2017,3,20,3,81.24
2017,3,20,4,70.41
2017,3,20,5,71.63
2017,3,20,6,76.33
2017,3,20,7,100.93
2017,3,20,8,126.3
2017,3,20,9,115.89
2017,3,20,10,110.14
2017,3,20,11,135.05
2017,3,20,12,131.35
2017,3,20,13,108.11
2017,3,20,14,93.34
2017,3,20,15,102.11
2017,3,20,16,113.13
2017,3,20,17,112.88
2017,3,20,18,116.86
2017,3,20,19,102.74
2017,3,20,20,115.64
2017,3,20,21,99.82
2017,3,20,22,98.64
2017,3,20,23,84.15
2017,3,21,0,81.58
2017,3,21,1,85.01
2017,3,21,2,79.56
2017,3,21,3,72.22
2017,3,21,4,67.97
2017,3,21,5,67.66
2017,3,21,6,73.74
2017,3,21,7,98.68
2017,3,21,8,119.36
2017,3,21,9,116.91
2017,3,21,10,114.36
2017,3,21,11,134.32
2017,3,21,12,136.93
2017,3,21,13,110.58
2017,3,21,14,96.41
2017,3,21,15,99.92
2017,3,21,16,85.06
2017,3,21,17,78.6217375
2017,3,21,18,71.74973075
2017,3,21,19,66.53307018
2017,3,21,20,65.45721979
2017,3,21,21,57.32847744
2017,3,21,22,52.42059008
2017,3,21,23,46.80798995
2017,3,22,0,22.88
2017,3,22,1,43.60392813
2017,3,22,2,43.94392193
2017,3,22,3,44.28982641
2017,3,22,4,42.28204094
2017,3,22,5,46.09674318
2017,3,22,6,49.08068859
2017,3,22,7,61.16092547
2017,3,22,8,75.87868618
2017,3,22,9,76.13018668
2017,3,22,10,74.08670193
2017,3,22,11,80.91914695
2017,3,22,12,85.84665629
2017,3,22,13,76.70737991
2017,3,22,14,70.80386775
2017,3,22,15,72.15109238
2017,3,22,16,75.80982489
2017,3,22,17,78.6217375
2017,3,22,18,71.74973075
2017,3,22,19,66.53307018
2017,3,22,20,65.45721979
2017,3,22,21,57.32847744
2017,3,22,22,52.42059008
2017,3,22,23,46.80798995
2017,3,23,0,46.09102421
2017,3,23,1,43.60392813
2017,3,23,2,43.94392193
2017,3,23,3,44.28982641
2017,3,23,4,42.28204094
2017,3,23,5,46.09674318
2017,3,23,6,49.08068859
2017,3,23,7,61.16092547
2017,3,23,8,75.87868618
2017,3,23,9,76.13018668
2017,3,23,10,74.08670193
2017,3,23,11,80.91914695
2017,3,23,12,85.84665629
2017,3,23,13,76.70737991
2017,3,23,14,70.80386775
2017,3,23,15,72.15109238
2017,3,23,16,75.80982489
2017,3,23,17,78.6217375
2017,3,23,18,71.74973075
2017,3,23,19,66.53307018
2017,3,23,20,65.45721979
2017,3,23,21,57.32847744
2017,3,23,22,52.42059008
2017,3,23,23,46.80798995
2017,3,24,0,46.09102421
2017,3,24,1,43.60392813
2017,3,24,2,43.94392193
2017,3,24,3,44.28982641
2017,3,24,4,42.28204094
2017,3,24,5,46.09674318
2017,3,24,6,49.08068859
2017,3,24,7,61.16092547
2017,3,24,8,75.87868618
2017,3,24,9,76.13018668
2017,3,24,10,74.08670193
2017,3,24,11,80.91914695
2017,3,24,12,85.84665629
2017,3,24,13,76.70737991
2017,3,24,14,70.80386775
2017,3,24,15,72.15109238
2017,3,24,16,75.80982489
2017,3,24,17,78.6217375
2017,3,24,18,71.74973075
2017,3,24,19,66.53307018
2017,3,24,20,65.45721979
2017,3,24,21,57.32847744
2017,3,24,22,52.42059008
2017,3,24,23,46.80798995
2017,3,25,0,46.09102421
2017,3,25,1,43.60392813
2017,3,25,2,43.94392193
2017,3,25,3,44.28982641
2017,3,25,4,42.28204094
2017,3,25,5,46.09674318
2017,3,25,6,49.08068859
2017,3,25,7,61.16092547
2017,3,25,8,75.87868618
2017,3,25,9,76.13018668
2017,3,25,10,74.08670193
2017,3,25,11,80.91914695
2017,3,25,12,85.84665629
2017,3,25,13,76.70737991
2017,3,25,14,70.80386775
2017,3,25,15,72.15109238
2017,3,25,16,75.80982489
2017,3,25,17,78.6217375
2017,3,25,18,71.74973075
2017,3,25,19,66.53307018
2017,3,25,20,65.45721979
2017,3,25,21,57.32847744
2017,3,25,22,52.42059008
2017,3,25,23,46.80798995
2017,3,26,0,62.27
2017,3,26,1,69.28
2017,3,26,2,70.05
2017,3,26,3,65.77
2017,3,26,4,65.87
2017,3,26,5,62.03
2017,3,26,6,62.69
2017,3,26,7,67.63
2017,3,26,8,63.23
2017,3,26,9,76.42
2017,3,26,10,76.47
2017,3,26,11,80.56
2017,3,26,12,79.12
2017,3,26,13,68.99
2017,3,26,14,67.77
2017,3,26,15,61.99
2017,3,26,16,80.57
2017,3,26,17,81.31
2017,3,26,18,62.59
2017,3,26,19,59.96
2017,3,26,20,62.76
2017,3,26,21,64.52
2017,3,26,22,62.57
2017,3,26,23,64.36
2017,3,27,0,63.66
2017,3,27,1,59.16
2017,3,27,2,62.16
2017,3,27,3,63.7
2017,3,27,4,63.55
2017,3,27,5,69.97
2017,3,27,6,82.37
2017,3,27,7,94.02
2017,3,27,8,116.56
2017,3,27,9,127.98
2017,3,27,10,129.41
2017,3,27,11,141.86
2017,3,27,12,136.75
2017,3,27,13,131.55
2017,3,27,14,123.33
2017,3,27,15,129.77
2017,3,27,16,124.13
2017,3,27,17,113.74
2017,3,27,18,120.13
2017,3,27,19,113.25
2017,3,27,20,109.66
2017,3,27,21,92.32
2017,3,27,22,101.6
2017,3,27,23,79.25
2017,3,28,0,72.09
2017,3,28,1,72.04
2017,3,28,2,76.07
2017,3,28,3,70.93
2017,3,28,4,66.89
2017,3,28,5,77.99
2017,3,28,6,75.37
2017,3,28,7,100.47
2017,3,28,8,129.65
2017,3,28,9,140.88
2017,3,28,10,129.5
2017,3,28,11,146.83
2017,3,28,12,144.01
2017,3,28,13,115.73
2017,3,28,14,103.67
2017,3,28,15,94.05
2017,3,28,16,97.75
2017,3,28,17,108.34
2017,3,28,18,109.44
2017,3,28,19,106.07
2017,3,28,20,105.82
2017,3,28,21,103.99
2017,3,28,22,91.88
2017,3,28,23,76.29
2017,3,29,0,67.34
2017,3,29,1,63.95
2017,3,29,2,68.41
2017,3,29,3,66.51
2017,3,29,4,69.93
2017,3,29,5,69.49
2017,3,29,6,69.03
2017,3,29,7,90.15
2017,3,29,8,119.58
2017,3,29,9,124.59
2017,3,29,10,106.98
2017,3,29,11,121.48
2017,3,29,12,126.02
2017,3,29,13,117.98
2017,3,29,14,97.92
2017,3,29,15,89.88
2017,3,29,16,105.5
2017,3,29,17,120.08
2017,3,29,18,108.1
2017,3,29,19,88.24
2017,3,29,20,92.68
2017,3,29,21,81.78
2017,3,29,22,74.55
2017,3,29,23,61.45
2017,3,30,0,54.47
2017,3,30,1,64.73
2017,3,30,2,71.12
2017,3,30,3,60.42
2017,3,30,4,68.13
2017,3,30,5,73.31
2017,3,30,6,75.2
2017,3,30,7,96.03
2017,3,30,8,120.75
2017,3,30,9,118.96
2017,3,30,10,103.16
2017,3,30,11,123.03
2017,3,30,12,122.38
2017,3,30,13,99.94
2017,3,30,14,90.85
2017,3,30,15,87.52
2017,3,30,16,96.55
2017,3,30,17,93.43
2017,3,30,18,103.63
2017,3,30,19,100.2
2017,3,30,20,100.84
2017,3,30,21,88.4
2017,3,30,22,79.51
2017,3,30,23,76.15
2017,3,31,0,69.59
2017,3,31,1,69.74
2017,3,31,2,59.85
2017,3,31,3,71.5
2017,3,31,4,65.73
2017,3,31,5,64.95
2017,3,31,6,63.32
2017,3,31,7,83.4
2017,3,31,8,106.34
2017,3,31,9,118.54
2017,3,31,10,106.83
2017,3,31,11,114.63
2017,3,31,12,123.87
2017,3,31,13,114.66
2017,3,31,14,97.6
2017,3,31,15,96.47
2017,3,31,16,99.75
2017,3,31,17,114.64
2017,3,31,18,110.09
2017,3,31,19,76.63
2017,3,31,20,70.44
2017,3,31,21,64.5
2017,3,31,22,63.83
2017,3,31,23,59.21
2017,4,1,0,60.14
2017,4,1,1,65.02
2017,4,1,2,53.91
2017,4,1,3,67.06
2017,4,1,4,65.66
2017,4,1,5,64.28
2017,4,1,6,57.53
2017,4,1,7,74.01
2017,4,1,8,90.13
2017,4,1,9,85.46
2017,4,1,10,76.46
2017,4,1,11,92.24
2017,4,1,12,98.47
2017,4,1,13,85.92
2017,4,1,14,85.35
2017,4,1,15,90.59
2017,4,1,16,88.07
2017,4,1,17,88.1
2017,4,1,18,88.6
2017,4,1,19,75.13
2017,4,1,20,58.16
2017,4,1,21,49.14
2017,4,1,22,64.49
2017,4,1,23,52.9
2017,4,2,0,46.76
2017,4,2,1,54.75
2017,4,2,2,59.35
2017,4,2,3,64.21
2017,4,2,4,56.67
2017,4,2,5,54.42
2017,4,2,6,49.84
2017,4,2,7,59.19
2017,4,2,8,54.07
2017,4,2,9,50.8
2017,4,2,10,55.64
2017,4,2,11,65.44
2017,4,2,12,67.75
2017,4,2,13,54.28
2017,4,2,14,60.38
2017,4,2,15,47.71
2017,4,2,16,57.57
2017,4,2,17,60.69
2017,4,2,18,47.24
2017,4,2,19,53.68
2017,4,2,20,62.77
2017,4,2,21,55.32
2017,4,2,22,51.36
2017,4,2,23,54.41
2017,4,3,0,57.34
2017,4,3,1,56.1
2017,4,3,2,59.75
2017,4,3,3,68.83
2017,4,3,4,60.86
2017,4,3,5,63.13
2017,4,3,6,64.02
2017,4,3,7,95.53
2017,4,3,8,104.11
2017,4,3,9,103.37
2017,4,3,10,97.46
2017,4,3,11,106.09
2017,4,3,12,115.17
2017,4,3,13,95.64
2017,4,3,14,78.33
2017,4,3,15,82.69
2017,4,3,16,86.48
2017,4,3,17,94.06
2017,4,3,18,86.68
2017,4,3,19,77.95
2017,4,3,20,81.29
2017,4,3,21,73.92
2017,4,3,22,68.65
2017,4,3,23,50.92
2017,4,4,0,50.09
2017,4,4,1,57.28
2017,4,4,2,58.01
2017,4,4,3,54.46
2017,4,4,4,54.94
2017,4,4,5,62.32
2017,4,4,6,61.21
2017,4,4,7,74.91
2017,4,4,8,95.78
2017,4,4,9,99.9
2017,4,4,10,88.45
2017,4,4,11,94.76
2017,4,4,12,99.38
2017,4,4,13,82.76
2017,4,4,14,73.77
2017,4,4,15,73.49
2017,4,4,16,83.24
2017,4,4,17,102.62
2017,4,4,18,92.61
2017,4,4,19,89.61
2017,4,4,20,76.89
2017,4,4,21,63.18
2017,4,4,22,61.71
2017,4,4,23,57.11
2017,4,5,0,51.56
2017,4,5,1,56.62
2017,4,5,2,62.65
2017,4,5,3,65.15
2017,4,5,4,60.43
2017,4,5,5,59.71
2017,4,5,6,68.18
2017,4,5,7,83.84
2017,4,5,8,87.28
2017,4,5,9,86.3
2017,4,5,10,84.89
2017,4,5,11,86.12
2017,4,5,12,110.52
2017,4,5,13,96.96
2017,4,5,14,82.17
2017,4,5,15,74.83
2017,4,5,16,92.22
2017,4,5,17,112.36
2017,4,5,18,92.62
2017,4,5,19,80.81
2017,4,5,20,83.29
2017,4,5,21,76.78
2017,4,5,22,74.73
2017,4,5,23,58.61
2017,4,6,0,56.28
2017,4,6,1,64.44
2017,4,6,2,68.22
2017,4,6,3,65.61
2017,4,6,4,56.41
2017,4,6,5,57.12
2017,4,6,6,61.77
2017,4,6,7,67.3
2017,4,6,8,77.67
2017,4,6,9,85.23
2017,4,6,10,76.54
2017,4,6,11,81.52
2017,4,6,12,107.01
2017,4,6,13,79.3
2017,4,6,14,79.41
2017,4,6,15,73.19
2017,4,6,16,83.56
2017,4,6,17,86.71
2017,4,6,18,84.73
2017,4,6,19,77.49
2017,4,6,20,84.83
2017,4,6,21,75.43
2017,4,6,22,69.95
2017,4,6,23,59.44
2017,4,7,0,55.99
2017,4,7,1,59.62
2017,4,7,2,66.85
2017,4,7,3,60.13
2017,4,7,4,60.03
2017,4,7,5,61.93
2017,4,7,6,62.16
2017,4,7,7,74.7
2017,4,7,8,91.89
2017,4,7,9,85.9
2017,4,7,10,72.32
2017,4,7,11,92.63
2017,4,7,12,99.28
2017,4,7,13,78.93
2017,4,7,14,71.79
2017,4,7,15,73.62
2017,4,7,16,74.27
2017,4,7,17,91.01
2017,4,7,18,78.82
2017,4,7,19,74.28
2017,4,7,20,84.67
2017,4,7,21,79.1
2017,4,7,22,73.74
2017,4,7,23,64.55
2017,4,8,0,56.45
2017,4,8,1,56.73
2017,4,8,2,60.33
2017,4,8,3,61.48
2017,4,8,4,56.86
2017,4,8,5,48.36
2017,4,8,6,55.29
2017,4,8,7,74.6
2017,4,8,8,73.8
2017,4,8,9,69.55
2017,4,8,10,75
2017,4,8,11,86.05
2017,4,8,12,86.84
2017,4,8,13,66.64
2017,4,8,14,63.7
2017,4,8,15,71.83
2017,4,8,16,80.41
2017,4,8,17,83.95
2017,4,8,18,76.85
2017,4,8,19,68.88
2017,4,8,20,57.21
2017,4,8,21,50.97
2017,4,8,22,52.74
2017,4,8,23,43.78
2017,4,9,0,41.83
2017,4,9,1,50.01
2017,4,9,2,49.94
2017,4,9,3,46.31
2017,4,9,4,47.28
2017,4,9,5,50.94
2017,4,9,6,42.91
2017,4,9,7,46.02
2017,4,9,8,43.16
2017,4,9,9,42.81
2017,4,9,10,42.4
2017,4,9,11,48.69
2017,4,9,12,53.28
2017,4,9,13,50.17
2017,4,9,14,42.73
2017,4,9,15,48.84
2017,4,9,16,50.11
2017,4,9,17,50.77
2017,4,9,18,46.47
2017,4,9,19,46.06
2017,4,9,20,44.11
2017,4,9,21,38.83
2017,4,9,22,46.83
2017,4,9,23,44.94
2017,4,10,0,41.43
2017,4,10,1,44.66
2017,4,10,2,51.07
2017,4,10,3,49.27
2017,4,10,4,48.17
2017,4,10,5,51.42
2017,4,10,6,57.77
2017,4,10,7,83.88
2017,4,10,8,96.62
2017,4,10,9,95.5
2017,4,10,10,90.6
2017,4,10,11,101.21
2017,4,10,12,118.61
2017,4,10,13,93.77
2017,4,10,14,84.95
2017,4,10,15,82.57
2017,4,10,16,81.8
2017,4,10,17,84.99
2017,4,10,18,82.46
2017,4,10,19,78.71
2017,4,10,20,102.17
2017,4,10,21,84.86
2017,4,10,22,68.75
2017,4,10,23,62.67
2017,4,11,0,61.18
2017,4,11,1,57.81
2017,4,11,2,63.08
2017,4,11,3,65.21
2017,4,11,4,59.45
2017,4,11,5,57.84
2017,4,11,6,58.74
2017,4,11,7,90.26
2017,4,11,8,96.48
2017,4,11,9,92.29
2017,4,11,10,97.56
2017,4,11,11,118.36
2017,4,11,12,121.02
2017,4,11,13,94.83
2017,4,11,14,84
2017,4,11,15,81.25
2017,4,11,16,79.52
2017,4,11,17,84.07
2017,4,11,18,81.44
2017,4,11,19,83.96
2017,4,11,20,98.46
2017,4,11,21,80.17
2017,4,11,22,81.04
2017,4,11,23,73.16
2017,4,12,0,64.2
2017,4,12,1,63.38
2017,4,12,2,61.17
2017,4,12,3,62.97
2017,4,12,4,57.13
2017,4,12,5,57.35
2017,4,12,6,56.06
2017,4,12,7,86.02
2017,4,12,8,101.76
2017,4,12,9,100.34
2017,4,12,10,93.06
2017,4,12,11,107.49
2017,4,12,12,114.58
2017,4,12,13,88.23
2017,4,12,14,75.17
2017,4,12,15,75.02
2017,4,12,16,82.22
2017,4,12,17,86.32
